Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,
RLE,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.6,mg/L,0.1
RLW,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,1,mg/L,0.1
RLW,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,0.9,mg/L,0.1
RLE,Nitrite + Nitrate as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2024-08-05 12:00:00.000+10:00,0.7,mg/L,0.1
RLW,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLE,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.8,mg/L,0.1
RLE,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLM,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Nitrite as N,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,RLW,Total Nitrogen as N,2024-07-01 12:00:00.000+10:00,0.8,mg/L,0.1
RLE,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,RLE,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.8,mg/L,0.1
RLW,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1,,,RLW,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.6,mg/L,0.1
RLM,Total Kjeldahl Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,RLM,Total Nitrogen as N,2024-06-03 12:00:00.000+10:00,0.6,mg/L,0.1
RLW,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,
RLM,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLE,Total Nitrogen as N,2026-01-19 12:00:00.000+10:00,0.6,mg/L,0.1,,,,,,,,
RLM,Total Phosphorus as P,2026-01-19 12:00:00.000+10:00,0.03,mg/L,0.01,,,,,,,,
RLW,Total Phosphorus as P,2026-01-19 12:00:00.000+10:00,0.01,mg/L,0.01,,,,,,,,
RLE,Total Phosphorus as P,2026-01-19 12:00:00.000+10:00,0.04,mg/L,0.01,,,,,,,,
RLM,Total suspended solids,2026-01-19 12:00:00.000+10:00,,mg/L,5,,,,,,,,
