Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,,
WULW,Dissolved Reactive Phosphorus as P,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-11-25 12:00:00.000+10:00,0.4,mg/L,0.1
WULM,Dissolved Reactive Phosphorus as P,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-11-25 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Dissolved Reactive Phosphorus as P,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-11-25 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-11-11 12:00:00.000+11:00,0.4,mg/L,0.1
WULM,Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-11-11 12:00:00.000+11:00,0.4,mg/L,0.1
WULW,Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-11-11 12:00:00.000+11:00,0.4,mg/L,0.1
WULE,Nitrite + Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-11-11 12:00:00.000+10:00,0.4,mg/L,0.1
WULM,Nitrite + Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-11-11 12:00:00.000+10:00,0.4,mg/L,0.1
WULW,Nitrite + Nitrate as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-11-11 12:00:00.000+10:00,0.4,mg/L,0.1
WULW,Nitrite as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-10-28 12:00:00.000+10:00,0.5,mg/L,0.1
WULE,Nitrite as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-10-28 12:00:00.000+10:00,0.4,mg/L,0.1
