Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Nitrite + Nitrate as N,2023-01-09 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2023-01-09 12:00:00.000+10:00,,,LAB,0.04,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2023-01-09 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2023-01-09 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2023-01-09 19:06:00.000+10:00,,,LAB,2430,cells/ml,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-01-09 19:06:00.000+10:00,,,LAB,0.082,mm3/l,,-33.7272,150.692296
FB,Chlorophyll - a,2023-01-09 19:06:00.000+10:00,,,LAB,6.9,mg/m^3,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-01-09 19:06:00.000+10:00,,,LAB,2434,cells/ml,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-01-09 19:06:00.000+10:00,,,LAB,36880,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-01-09 19:06:00.000+10:00,,,LAB,0.067,mm3/l,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-01-09 19:06:00.000+10:00,,,LAB,34442,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-01-09 19:06:00.000+10:00,,,LAB,0.015,mm3/l,,-33.7272,150.692296
FB,Enterococci,2023-01-09 19:06:00.000+10:00,,,LAB,1,cfu/100ml,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-01-09 19:06:00.000+10:00,,,LAB,0.067,mm3/l,,-33.7272,150.692296
FB,Total Nitrogen as N,2023-01-23 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
FB,Total suspended solids,2023-01-23 12:00:00.000+10:00,,,LAB,,mg/L,5,-33.7272,150.692296
FB,Nitrite + Nitrate as N,2023-01-23 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Dissolved Reactive Phosphorus as P,2023-01-23 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Ammonia as N,2023-01-23 12:00:00.000+10:00,,,LAB,0.02,mg/L,0.01,-33.7272,150.692296
FB,Total Kjeldahl Nitrogen as N,2023-01-23 12:00:00.000+10:00,,,LAB,0.5,mg/L,0.1,-33.7272,150.692296
FB,Nitrite as N,2023-01-23 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Total Phosphorus as P,2023-01-23 12:00:00.000+10:00,,,LAB,0.03,mg/L,0.01,-33.7272,150.692296
FB,Nitrate as N,2023-01-23 12:00:00.000+10:00,,,LAB,,mg/L,0.01,-33.7272,150.692296
FB,Enterococci,2023-01-23 15:48:00.000+10:00,,,LAB,10000,cfu/100ml,,-33.7272,150.692296
FB,Aphanizomenonaceae_Cell count,2023-01-23 15:48:00.000+10:00,,,LAB,278,cells/ml,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-01-23 15:48:00.000+10:00,,,LAB,137200,cells/ml,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.211,mm3/l,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.183,mm3/l,,-33.7272,150.692296
FB,Dolichospermum cf planctonicum/smithii_Cell count,2023-01-23 15:48:00.000+10:00,,,LAB,173,cells/ml,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.312,mm3/l,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.058,mm3/l,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-01-23 15:48:00.000+10:00,,,LAB,6582,cells/ml,,-33.7272,150.692296
FB,Dolichospermum cf planctonicum/smithii_Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.043,mm3/l,,-33.7272,150.692296
FB,Potentially Toxic Cyanobacteria,2023-01-23 15:48:00.000+10:00,,,LAB,6860,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-01-23 15:48:00.000+10:00,,,LAB,130193,cells/ml,,-33.7272,150.692296
